player,team,position,age,games,minutes,goals,pens_made,assists,xg,npxg,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,xg_per90,npxg_per90,pens_att,assists,progressive_passes,progressive_carries,progressive_passes_received
Bukayo Saka,Arsenal,FW,21,35,"2,919",16,6,9,15.5,10.8,155,126,0.49,0.28,0.77,0.48,0.33,6,9,126,155,508
Bénie Traoré,Sheffield Utd,"FW,MF",20,8,387,0,0,0,0.3,0.3,7,9,0.00,0.00,0.00,0.06,0.06,0,0,9,7,14
Callum Hudson-Odoi,Nott'ham Forest,"FW,MF",22,29,"1,854",8,0,1,2.7,2.7,111,58,0.39,0.05,0.44,0.13,0.13,0,1,58,111,171
Callum Wilson,Newcastle Utd,FW,31,20,991,9,2,1,8.8,7.2,11,9,0.82,0.09,0.91,0.80,0.65,2,1,9,11,77
Calum Chambers,Aston Villa,"MF,DF",28,5,152,0,0,1,0.0,0.0,0,5,0.00,0.59,0.59,0.00,0.00,0,1,5,0,1
Calvin Bassey,Fulham,DF,23,29,"2,303",1,0,0,0.3,0.3,15,62,0.04,0.00,0.04,0.01,0.01,0,0,62,15,4
Cameron Archer,Sheffield Utd,"FW,MF",22,29,"1,832",4,0,1,5.5,5.5,33,15,0.20,0.05,0.25,0.27,0.27,0,1,15,33,113
Caoimhín Kelleher,Liverpool,GK,24,10,900,0,0,0,0.0,0.0,0,1,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0
Carlos Baleba,Brighton,MF,19,27,"1,325",0,0,0,0.8,0.8,19,50,0.00,0.00,0.00,0.06,0.06,0,0,50,19,9
Carlos Vinícius,Fulham,FW,28,13,315,2,0,0,1.6,1.6,3,3,0.57,0.00,0.57,0.46,0.46,0,0,3,3,13
Carlton Morris,Luton Town,"FW,MF",27,38,"2,862",11,5,4,11.4,7.5,37,56,0.35,0.13,0.47,0.36,0.23,5,4,56,37,120
Carney Chukwuemeka,Chelsea,"MF,FW",19,9,227,1,0,1,0.2,0.2,4,12,0.40,0.40,0.79,0.06,0.06,0,1,12,4,19
Casemiro,Manchester Utd,"MF,DF",31,25,"1,982",1,0,2,3.5,3.5,12,112,0.05,0.09,0.14,0.16,0.16,0,2,112,12,36
Cauley Woodrow,Luton Town,"FW,MF",28,24,427,1,0,1,1.4,1.4,7,6,0.21,0.21,0.42,0.30,0.30,0,1,6,7,22
Charlie Taylor,Burnley,DF,29,28,"2,331",1,0,1,0.2,0.2,36,82,0.04,0.04,0.08,0.01,0.01,0,1,82,36,81
Cheick Doucouré,Crystal Palace,MF,23,11,919,0,0,0,0.3,0.3,9,49,0.00,0.00,0.00,0.03,0.03,0,0,49,9,5
Cheikhou Kouyaté,Nott'ham Forest,MF,33,12,212,0,0,0,0.3,0.3,0,5,0.00,0.00,0.00,0.12,0.12,0,0,5,0,5
Chiedozie Ogbene,Luton Town,"MF,DF",26,30,"1,995",4,0,1,4.2,4.2,127,53,0.18,0.05,0.23,0.19,0.19,0,1,53,127,150
Chris Basham,Sheffield Utd,"DF,MF",35,8,321,0,0,0,0.1,0.1,1,7,0.00,0.00,0.00,0.04,0.04,0,0,7,1,6
Chris Mepham,Bournemouth,DF,25,10,617,0,0,1,0.1,0.1,4,25,0.00,0.15,0.15,0.01,0.01,0,1,25,4,1
Chris Richards,Crystal Palace,"DF,MF",23,26,"2,094",1,0,1,0.6,0.6,1,43,0.04,0.04,0.09,0.03,0.03,0,1,43,1,1
Chris Wood,Nott'ham Forest,FW,31,31,"1,812",14,0,1,11.9,11.9,16,30,0.70,0.05,0.75,0.59,0.59,0,1,30,16,76
Christian Eriksen,Manchester Utd,MF,31,22,"1,141",1,0,2,1.0,1.0,20,68,0.08,0.16,0.24,0.08,0.08,0,2,68,20,23
Christian Nørgaard,Brentford,MF,29,31,"2,505",2,0,1,3.5,3.5,15,161,0.07,0.04,0.11,0.12,0.12,0,1,161,15,42
Christopher Nkunku,Chelsea,"FW,MF",25,11,443,3,0,0,2.3,2.3,10,19,0.61,0.00,0.61,0.47,0.47,0,0,19,10,35
Clément Lenglet,Aston Villa,DF,28,14,"1,153",0,0,1,0.9,0.9,26,51,0.00,0.08,0.08,0.07,0.07,0,1,51,26,1
Cody Gakpo,Liverpool,"FW,MF",24,35,"1,649",8,0,5,9.0,9.0,43,83,0.44,0.27,0.71,0.49,0.49,0,5,83,43,130
Cole Palmer,Chelsea,"FW,MF",21,33,"2,607",22,9,11,18.2,11.1,117,197,0.76,0.38,1.14,0.63,0.38,9,11,197,117,195
Connor Roberts,Burnley,DF,27,14,823,0,0,1,0.0,0.0,6,38,0.00,0.11,0.11,0.00,0.00,0,1,38,6,13
Conor Bradley,Liverpool,DF,20,11,753,1,0,3,0.9,0.9,35,29,0.12,0.36,0.48,0.10,0.10,0,3,29,35,64
Conor Gallagher,Chelsea,MF,23,37,"3,128",5,0,7,4.2,4.2,62,172,0.14,0.20,0.35,0.12,0.12,0,7,172,62,122
Craig Dawson,Wolves,DF,33,25,"2,209",1,0,1,1.5,1.5,1,49,0.04,0.04,0.08,0.06,0.06,0,1,49,1,4
Cristian Romero,Tottenham,DF,25,33,"2,790",5,0,0,3.5,3.5,32,179,0.16,0.00,0.16,0.11,0.11,0,0,179,32,8
Curtis Jones,Liverpool,MF,22,23,"1,167",1,0,1,2.6,2.6,31,74,0.08,0.08,0.15,0.20,0.20,0,1,74,31,88
Daiki Hashioka,Luton Town,DF,24,10,595,0,0,0,0.1,0.1,3,21,0.00,0.00,0.00,0.02,0.02,0,0,21,3,16
Dan Burn,Newcastle Utd,DF,31,33,"2,726",2,0,2,3.1,3.1,14,75,0.07,0.07,0.13,0.10,0.10,0,2,75,14,25
Dango Ouattara,Bournemouth,"FW,DF",21,30,"1,229",1,0,2,2.6,2.6,47,35,0.07,0.15,0.22,0.19,0.19,0,2,35,47,90
Daniel Bentley,Wolves,GK,30,5,383,0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Daniel Muñoz,Crystal Palace,"DF,MF",27,16,"1,439",0,0,4,1.2,1.2,25,38,0.00,0.25,0.25,0.08,0.08,0,4,38,25,80
Danilo,Nott'ham Forest,MF,22,29,"1,792",2,0,2,1.8,1.8,22,83,0.10,0.10,0.20,0.09,0.09,0,2,83,22,28
Danny Ings,West Ham,FW,31,20,404,1,0,0,1.3,1.3,7,8,0.22,0.00,0.22,0.28,0.28,0,0,8,7,29
Danny Welbeck,Brighton,"FW,MF",32,29,"1,693",5,0,1,5.3,5.3,32,44,0.27,0.05,0.32,0.28,0.28,0,1,44,32,100
Dara O'Shea,Burnley,DF,24,33,"2,892",3,0,4,0.7,0.7,32,122,0.09,0.12,0.22,0.02,0.02,0,4,122,32,10
Darwin Núñez,Liverpool,FW,24,36,"2,047",11,0,8,16.3,15.5,58,54,0.48,0.35,0.84,0.72,0.68,1,8,54,58,206
David Brooks,Bournemouth,"FW,MF",26,13,282,1,0,1,2.2,2.2,8,21,0.32,0.32,0.64,0.70,0.70,0,1,21,8,27
David Datro Fofana,Burnley,FW,20,15,879,4,0,1,4.5,4.5,21,15,0.41,0.10,0.51,0.46,0.46,0,1,15,21,39
David Ozoh,Crystal Palace,"MF,DF",18,9,156,0,0,0,0.0,0.0,2,4,0.00,0.00,0.00,0.00,0.00,0,0,4,2,3
David Raya,Arsenal,GK,27,32,"2,880",0,0,0,0.0,0.0,0,2,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0
Dean Henderson,Crystal Palace,GK,26,18,"1,620",0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
